epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.919,0.69568,1.66128,1.16355,0.62346,0.74974,0.66334,0.60957,0.44156,0.61504,0.96303,0.00332922,0.00332922,0.00332922
2,393.259,0.67542,0.95265,1.11861,0.61761,0.72751,0.678,0.606,0.5112,0.69854,1.02562,0.00661858,0.00661858,0.00661858
3,588.744,0.7614,1.06558,1.16754,0.56984,0.5395,0.57378,0.48461,0.6441,0.99506,1.12826,0.00986394,0.00986394,0.00986394
4,782.23,0.82826,1.16334,1.20317,0.59106,0.55188,0.63028,0.5337,0.6794,0.93542,1.15674,0.009802,0.009802,0.009802
5,970.237,0.78573,1.06918,1.17331,0.64046,0.69558,0.66059,0.5753,0.58935,0.68754,1.07285,0.009736,0.009736,0.009736
6,1160.34,0.75516,0.98849,1.15611,0.67709,0.72496,0.7296,0.65728,0.51718,0.56264,1.02549,0.00967,0.00967,0.00967
7,1354.73,0.72137,0.91083,1.13442,0.67198,0.72647,0.71617,0.64986,0.4931,0.5352,1.01637,0.009604,0.009604,0.009604
8,1550.5,0.69414,0.85843,1.11592,0.68947,0.74398,0.72638,0.66562,0.46672,0.50225,0.99414,0.009538,0.009538,0.009538
9,1739.08,0.67831,0.82482,1.10369,0.66753,0.77761,0.73425,0.6721,0.45999,0.50357,0.98463,0.009472,0.009472,0.009472
10,1927.19,0.65975,0.7918,1.09523,0.66558,0.7374,0.68977,0.63619,0.4489,0.4697,0.97921,0.009406,0.009406,0.009406
11,2116.42,0.64836,0.77524,1.08879,0.6601,0.79679,0.71798,0.66059,0.44302,0.44739,0.97998,0.00934,0.00934,0.00934
12,2304.46,0.63953,0.7443,1.0829,0.67719,0.77324,0.70644,0.65741,0.43262,0.45194,0.96515,0.009274,0.009274,0.009274
13,2493.92,0.62899,0.73188,1.07864,0.65983,0.78588,0.70243,0.64928,0.4398,0.47341,0.9794,0.009208,0.009208,0.009208
14,2682.68,0.61769,0.69736,1.06722,0.68594,0.70751,0.69863,0.64979,0.42152,0.43345,0.96747,0.009142,0.009142,0.009142
15,2870.95,0.60964,0.68183,1.06482,0.67873,0.80834,0.74766,0.69017,0.41293,0.41872,0.95537,0.009076,0.009076,0.009076
16,3058.55,0.60565,0.66674,1.06152,0.70794,0.75246,0.77637,0.7098,0.41429,0.43313,0.95573,0.00901,0.00901,0.00901
17,3247.57,0.58855,0.65397,1.05355,0.71432,0.775,0.72207,0.67475,0.39732,0.37476,0.94557,0.008944,0.008944,0.008944
18,3437.02,0.58396,0.63771,1.0509,0.70606,0.73421,0.71914,0.67038,0.39291,0.38542,0.94593,0.008878,0.008878,0.008878
19,3625.9,0.58371,0.62907,1.05201,0.71707,0.72821,0.71481,0.67068,0.39427,0.37157,0.9388,0.008812,0.008812,0.008812
20,3814.29,0.57021,0.61066,1.04079,0.69298,0.80844,0.72913,0.67949,0.3897,0.35971,0.93521,0.008746,0.008746,0.008746
21,4003.17,0.56946,0.60034,1.04309,0.71372,0.80566,0.7374,0.68447,0.39325,0.36129,0.94426,0.00868,0.00868,0.00868
22,4191.69,0.56566,0.59545,1.03868,0.72721,0.77809,0.73463,0.68927,0.37714,0.35192,0.92856,0.008614,0.008614,0.008614
23,4379.56,0.55272,0.57332,1.03026,0.71858,0.78608,0.73297,0.69083,0.3718,0.33683,0.92548,0.008548,0.008548,0.008548
24,4567.78,0.55223,0.57324,1.02857,0.72436,0.77751,0.73809,0.6914,0.37362,0.34927,0.92868,0.008482,0.008482,0.008482
25,4756.31,0.5511,0.56686,1.02848,0.7078,0.79637,0.72561,0.6849,0.3716,0.35448,0.92409,0.008416,0.008416,0.008416
26,4944.6,0.5415,0.55171,1.02663,0.71497,0.80231,0.72906,0.68544,0.36438,0.35383,0.92204,0.00835,0.00835,0.00835
27,5134.32,0.54199,0.54417,1.02433,0.71079,0.80349,0.73637,0.6906,0.36799,0.35128,0.92664,0.008284,0.008284,0.008284
28,5323.8,0.53378,0.53906,1.0224,0.69547,0.80427,0.72481,0.68372,0.36048,0.34327,0.92094,0.008218,0.008218,0.008218
29,5512.73,0.5336,0.53032,1.01944,0.71734,0.74631,0.72934,0.69038,0.36306,0.34332,0.92618,0.008152,0.008152,0.008152
30,5702.55,0.52832,0.52621,1.01737,0.70263,0.81217,0.73151,0.68872,0.35513,0.34182,0.91585,0.008086,0.008086,0.008086
31,5891.49,0.52721,0.51855,1.01722,0.7215,0.79598,0.74184,0.69844,0.35573,0.32366,0.91777,0.00802,0.00802,0.00802
32,6081.66,0.52032,0.51223,1.01197,0.72414,0.75515,0.73308,0.68956,0.35353,0.33124,0.91546,0.007954,0.007954,0.007954
33,6271.05,0.52024,0.50032,1.01168,0.70451,0.8267,0.72625,0.68609,0.35058,0.31899,0.91185,0.007888,0.007888,0.007888
34,6460.26,0.51651,0.5008,1.01105,0.71831,0.81243,0.76132,0.72094,0.35109,0.31205,0.91623,0.007822,0.007822,0.007822
35,6648.56,0.51506,0.49478,1.00888,0.72374,0.75209,0.75971,0.71809,0.35109,0.31758,0.91609,0.007756,0.007756,0.007756
36,6837.18,0.51061,0.48779,1.00639,0.6953,0.85009,0.75606,0.71774,0.34299,0.31197,0.90722,0.00769,0.00769,0.00769
37,7023.25,0.50851,0.48454,1.00583,0.70363,0.82461,0.72589,0.68624,0.34643,0.31116,0.91355,0.007624,0.007624,0.007624
38,7211.2,0.5103,0.47944,1.00733,0.71599,0.84501,0.74611,0.70709,0.34587,0.30088,0.91171,0.007558,0.007558,0.007558
39,7398.97,0.50292,0.46992,1.00199,0.72278,0.79023,0.73781,0.69828,0.33962,0.30218,0.90623,0.007492,0.007492,0.007492
40,7586.55,0.50064,0.46899,1.0018,0.73167,0.8039,0.74732,0.70832,0.33907,0.29979,0.90611,0.007426,0.007426,0.007426
41,7773.31,0.50069,0.4652,1.00214,0.71178,0.83955,0.73817,0.70177,0.33485,0.29607,0.9038,0.00736,0.00736,0.00736
42,7963.99,0.49808,0.45854,0.99984,0.71477,0.81521,0.73431,0.69719,0.33716,0.28342,0.90437,0.007294,0.007294,0.007294
43,8153.18,0.49491,0.45724,0.99688,0.72077,0.85056,0.73621,0.70009,0.33598,0.28594,0.90283,0.007228,0.007228,0.007228
44,8341.74,0.4921,0.45119,0.99748,0.72193,0.82748,0.74294,0.70384,0.33046,0.29018,0.89951,0.007162,0.007162,0.007162
45,8529.72,0.48855,0.44654,0.9966,0.72162,0.84897,0.73864,0.70015,0.33092,0.28687,0.90081,0.007096,0.007096,0.007096
46,8717.29,0.48797,0.44836,0.99374,0.72602,0.84472,0.74413,0.70375,0.33166,0.28419,0.90201,0.00703,0.00703,0.00703
47,8903.89,0.49211,0.44172,0.99646,0.71217,0.85511,0.73116,0.69543,0.33377,0.28264,0.90587,0.006964,0.006964,0.006964
48,9089.65,0.48309,0.43869,0.99347,0.71465,0.83525,0.7317,0.69724,0.32898,0.27762,0.90038,0.006898,0.006898,0.006898
49,9274.41,0.48028,0.43399,0.99023,0.72376,0.82589,0.73258,0.69858,0.32942,0.27853,0.90179,0.006832,0.006832,0.006832
50,9460.73,0.4776,0.42828,0.99015,0.72212,0.81157,0.74615,0.71101,0.33141,0.27674,0.90177,0.006766,0.006766,0.006766
51,9646.4,0.47785,0.42666,0.99008,0.73137,0.80498,0.75202,0.71538,0.33021,0.27019,0.90275,0.0067,0.0067,0.0067
52,9830.34,0.47569,0.41973,0.98746,0.72679,0.85213,0.75097,0.71327,0.32815,0.27362,0.90157,0.006634,0.006634,0.006634
53,10016.4,0.47225,0.41811,0.98813,0.71722,0.85557,0.74854,0.70912,0.32684,0.27976,0.90106,0.006568,0.006568,0.006568
54,10202.7,0.47329,0.42005,0.9903,0.73395,0.82236,0.75128,0.71561,0.32538,0.27749,0.89994,0.006502,0.006502,0.006502
55,10392.1,0.46478,0.40995,0.98323,0.73184,0.82299,0.75243,0.71683,0.32587,0.27201,0.9008,0.006436,0.006436,0.006436
56,10578.2,0.46866,0.40837,0.98467,0.72667,0.83117,0.75783,0.72095,0.3242,0.26988,0.90036,0.00637,0.00637,0.00637
57,10765.7,0.46728,0.40362,0.98321,0.73727,0.79972,0.75747,0.72114,0.32247,0.27263,0.89787,0.006304,0.006304,0.006304
58,10953.8,0.46928,0.40912,0.98538,0.73481,0.79685,0.76051,0.72372,0.32081,0.2715,0.89708,0.006238,0.006238,0.006238
59,11142.5,0.46227,0.40283,0.98087,0.729,0.80828,0.75301,0.71842,0.32005,0.27154,0.89518,0.006172,0.006172,0.006172
60,11330.1,0.4588,0.39633,0.97932,0.72541,0.80699,0.76578,0.73219,0.31993,0.27182,0.89618,0.006106,0.006106,0.006106
61,11516.3,0.45924,0.39471,0.98101,0.72177,0.80659,0.76931,0.73468,0.31895,0.2707,0.89548,0.00604,0.00604,0.00604
62,11704,0.45657,0.39119,0.97892,0.72723,0.80941,0.76706,0.73412,0.31783,0.2696,0.8951,0.005974,0.005974,0.005974
63,11891.5,0.45776,0.38984,0.97929,0.72787,0.81126,0.77125,0.73717,0.3157,0.26932,0.89402,0.005908,0.005908,0.005908
64,12080.9,0.45434,0.38619,0.97844,0.73891,0.80585,0.77383,0.73944,0.31564,0.26896,0.89402,0.005842,0.005842,0.005842
65,12269.3,0.44972,0.38095,0.97527,0.73946,0.8037,0.75679,0.7222,0.31448,0.26773,0.89281,0.005776,0.005776,0.005776
66,12456.7,0.44991,0.38269,0.97332,0.73852,0.80389,0.75656,0.72253,0.31431,0.26742,0.89279,0.00571,0.00571,0.00571
67,12647,0.4497,0.37534,0.97486,0.73856,0.80622,0.75651,0.72209,0.31419,0.26626,0.89266,0.005644,0.005644,0.005644
68,12836.9,0.44435,0.37282,0.97085,0.73725,0.806,0.75706,0.72292,0.31413,0.26495,0.89253,0.005578,0.005578,0.005578
69,13025.3,0.44812,0.37423,0.97662,0.73314,0.80735,0.75472,0.72105,0.31384,0.26297,0.89219,0.005512,0.005512,0.005512
70,13212.3,0.44488,0.36957,0.97161,0.73356,0.80801,0.75513,0.72166,0.31385,0.26267,0.89245,0.005446,0.005446,0.005446
71,13405.6,0.43711,0.36698,0.97029,0.73341,0.80818,0.7531,0.72027,0.31397,0.26281,0.89286,0.00538,0.00538,0.00538
72,13605.1,0.43716,0.36562,0.96829,0.7322,0.81182,0.75192,0.71887,0.31374,0.26296,0.89252,0.005314,0.005314,0.005314
73,13799.9,0.4371,0.35969,0.9695,0.73192,0.81114,0.75301,0.72028,0.31304,0.26237,0.89216,0.005248,0.005248,0.005248
74,13988.9,0.43539,0.36073,0.96614,0.73409,0.81209,0.75278,0.72,0.313,0.26191,0.89191,0.005182,0.005182,0.005182
75,14175.9,0.43499,0.36096,0.96589,0.73301,0.81289,0.75269,0.72058,0.31254,0.26088,0.89177,0.005116,0.005116,0.005116
76,14370,0.43326,0.35133,0.96639,0.73317,0.81334,0.75278,0.72058,0.31195,0.25855,0.89149,0.00505,0.00505,0.00505
77,14560.2,0.4331,0.3501,0.96596,0.73131,0.81507,0.75124,0.71978,0.31114,0.2584,0.89108,0.004984,0.004984,0.004984
78,14749.1,0.43447,0.35665,0.9693,0.73238,0.81509,0.75133,0.71965,0.31114,0.25796,0.89133,0.004918,0.004918,0.004918
79,14935.3,0.42601,0.34698,0.96221,0.7327,0.81441,0.75139,0.71972,0.31094,0.25781,0.89126,0.004852,0.004852,0.004852
80,15131.1,0.42763,0.35,0.96201,0.73253,0.81395,0.75122,0.72007,0.3108,0.25881,0.89122,0.004786,0.004786,0.004786
81,15320.5,0.42424,0.34717,0.96226,0.73324,0.81377,0.75127,0.71971,0.31085,0.25926,0.89137,0.00472,0.00472,0.00472
82,15506.8,0.42076,0.33698,0.9581,0.73356,0.81386,0.75119,0.71984,0.31072,0.25872,0.89132,0.004654,0.004654,0.004654
83,15693.5,0.42444,0.34687,0.96198,0.73342,0.81337,0.7529,0.72112,0.31052,0.25842,0.89131,0.004588,0.004588,0.004588
84,15880.3,0.41904,0.33557,0.95991,0.73347,0.81358,0.77276,0.74047,0.31023,0.25758,0.89109,0.004522,0.004522,0.004522
85,16068.5,0.41678,0.33594,0.95858,0.73319,0.81379,0.77281,0.7409,0.31023,0.25755,0.8912,0.004456,0.004456,0.004456
86,16254.8,0.41726,0.33665,0.9599,0.73256,0.81424,0.77279,0.74076,0.31026,0.25767,0.89122,0.00439,0.00439,0.00439
87,16438.8,0.41312,0.33153,0.95663,0.72606,0.8211,0.77274,0.74079,0.31014,0.25704,0.89104,0.004324,0.004324,0.004324
88,16625.1,0.41441,0.32936,0.95913,0.72747,0.84065,0.77281,0.74099,0.31006,0.25728,0.89104,0.004258,0.004258,0.004258
89,16809.2,0.41196,0.32597,0.95549,0.73163,0.81544,0.77271,0.7409,0.30997,0.25786,0.89121,0.004192,0.004192,0.004192
90,16996.1,0.41291,0.32536,0.95625,0.73183,0.81559,0.7726,0.74103,0.30971,0.25921,0.89129,0.004126,0.004126,0.004126
91,17181.8,0.41444,0.33052,0.95839,0.73227,0.81554,0.77254,0.74058,0.30965,0.25952,0.89133,0.00406,0.00406,0.00406
92,17365.9,0.40605,0.32055,0.95436,0.73316,0.81542,0.77117,0.73945,0.30981,0.25967,0.89157,0.003994,0.003994,0.003994
93,17552.3,0.40671,0.32118,0.95437,0.73313,0.81453,0.77114,0.73958,0.30964,0.25996,0.89164,0.003928,0.003928,0.003928
94,17740.9,0.4056,0.32132,0.95475,0.73292,0.81472,0.77128,0.7395,0.30957,0.26053,0.89153,0.003862,0.003862,0.003862
95,17927.5,0.4037,0.31623,0.9531,0.73269,0.81526,0.77128,0.73934,0.30955,0.26048,0.89154,0.003796,0.003796,0.003796
96,18114,0.40312,0.31976,0.95447,0.73173,0.81603,0.77129,0.73928,0.30971,0.2609,0.89174,0.00373,0.00373,0.00373
97,18301.5,0.3989,0.3095,0.95063,0.73118,0.81605,0.77137,0.73962,0.30973,0.26108,0.89174,0.003664,0.003664,0.003664
98,18489.2,0.3988,0.30833,0.94953,0.73077,0.8168,0.77068,0.73864,0.31,0.26073,0.89203,0.003598,0.003598,0.003598
99,18676.4,0.39424,0.30539,0.94773,0.7305,0.81755,0.77079,0.73888,0.30999,0.26068,0.89204,0.003532,0.003532,0.003532
100,18867.3,0.3944,0.30573,0.947,0.73056,0.81764,0.77078,0.7387,0.31008,0.26029,0.89214,0.003466,0.003466,0.003466
101,19053.3,0.39509,0.30235,0.94766,0.73077,0.81756,0.7708,0.73866,0.31026,0.2589,0.89194,0.0034,0.0034,0.0034
102,19239.5,0.38976,0.30192,0.94635,0.73041,0.81788,0.7709,0.73882,0.31074,0.25814,0.8921,0.003334,0.003334,0.003334
103,19424.6,0.38582,0.30063,0.94358,0.73027,0.81766,0.77084,0.7389,0.31073,0.25786,0.89212,0.003268,0.003268,0.003268
104,19611.9,0.39077,0.30189,0.94626,0.7313,0.81709,0.77085,0.73877,0.31075,0.25779,0.89228,0.003202,0.003202,0.003202
105,19798.4,0.38757,0.2976,0.9469,0.73168,0.81683,0.77094,0.7389,0.31073,0.25785,0.89235,0.003136,0.003136,0.003136
106,19982.1,0.3821,0.29157,0.94203,0.73193,0.81605,0.77092,0.73904,0.3106,0.25769,0.8923,0.00307,0.00307,0.00307
107,20167.1,0.38395,0.29247,0.942,0.73172,0.81632,0.77098,0.73916,0.31006,0.25779,0.89189,0.003004,0.003004,0.003004
108,20353.9,0.38258,0.29005,0.94242,0.73184,0.81614,0.77098,0.73912,0.31026,0.25744,0.89196,0.002938,0.002938,0.002938
109,20541.1,0.38602,0.29414,0.94515,0.73155,0.81563,0.77104,0.73918,0.31021,0.25685,0.89193,0.002872,0.002872,0.002872
110,20730,0.37935,0.28927,0.94232,0.73063,0.81661,0.77171,0.74008,0.31012,0.25687,0.89175,0.002806,0.002806,0.002806
111,20917.9,0.38015,0.28779,0.94245,0.73066,0.81659,0.77174,0.73996,0.30977,0.25739,0.89143,0.00274,0.00274,0.00274
112,21103.1,0.37629,0.28379,0.94142,0.73048,0.81678,0.77262,0.74138,0.30925,0.25832,0.89125,0.002674,0.002674,0.002674
113,21289.8,0.374,0.28433,0.93919,0.73069,0.81697,0.77256,0.7412,0.30907,0.25873,0.89108,0.002608,0.002608,0.002608
114,21474.6,0.37121,0.27859,0.93518,0.73087,0.81684,0.77256,0.74137,0.30891,0.25885,0.89098,0.002542,0.002542,0.002542
115,21661.3,0.36959,0.27698,0.93595,0.73125,0.8158,0.77248,0.7411,0.30894,0.25902,0.89093,0.002476,0.002476,0.002476
116,21846.2,0.36829,0.27666,0.93572,0.7313,0.81559,0.77251,0.74131,0.30887,0.25882,0.89082,0.00241,0.00241,0.00241
117,22033.1,0.36565,0.27288,0.93354,0.7314,0.81572,0.77253,0.74142,0.30897,0.2585,0.89088,0.002344,0.002344,0.002344
