epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.55,0.69119,1.6592,1.16195,0.64906,0.73913,0.67853,0.62511,0.42752,0.57585,0.95047,0.00332922,0.00332922,0.00332922
2,390.562,0.68193,0.94987,1.123,0.65992,0.71895,0.68314,0.61941,0.46798,0.5544,0.99293,0.00661858,0.00661858,0.00661858
3,581.876,0.76385,1.06245,1.1685,0.55613,0.59971,0.62944,0.54918,0.60197,0.97273,1.10598,0.00986394,0.00986394,0.00986394
4,774.15,0.83371,1.17809,1.2087,0.66876,0.61272,0.68476,0.59264,0.60271,0.75612,1.08224,0.009802,0.009802,0.009802
5,971.439,0.79451,1.07919,1.1823,0.66112,0.65454,0.67749,0.59804,0.5438,0.62251,1.04704,0.009736,0.009736,0.009736
6,1164.9,0.76883,1.00133,1.165,0.65968,0.64194,0.7088,0.63464,0.53166,0.54952,1.04767,0.00967,0.00967,0.00967
7,1356.71,0.7374,0.93354,1.14301,0.67739,0.67704,0.69733,0.62676,0.50434,0.53093,1.01676,0.009604,0.009604,0.009604
8,1545.92,0.70651,0.88291,1.12123,0.64137,0.77205,0.69021,0.62668,0.47596,0.50224,0.99684,0.009538,0.009538,0.009538
9,1732.18,0.69076,0.85716,1.11159,0.66735,0.751,0.70886,0.6403,0.47732,0.53439,0.99537,0.009472,0.009472,0.009472
10,1917.32,0.6741,0.82119,1.10394,0.65238,0.75121,0.69496,0.63729,0.45838,0.46706,0.98085,0.009406,0.009406,0.009406
11,2102.31,0.66611,0.80053,1.09668,0.67386,0.80999,0.71627,0.65926,0.43925,0.42699,0.97112,0.00934,0.00934,0.00934
12,2287.58,0.65841,0.77272,1.09311,0.68297,0.72098,0.73138,0.67704,0.44851,0.46538,0.97708,0.009274,0.009274,0.009274
13,2473.99,0.64326,0.75549,1.08654,0.71241,0.74956,0.73692,0.6749,0.45096,0.43976,0.98872,0.009208,0.009208,0.009208
14,2659.91,0.63661,0.7329,1.07832,0.67398,0.74421,0.69486,0.64474,0.43302,0.44748,0.96574,0.009142,0.009142,0.009142
15,2846.56,0.62855,0.71621,1.0745,0.6985,0.73841,0.7107,0.65753,0.42855,0.40888,0.95891,0.009076,0.009076,0.009076
16,3031.78,0.62235,0.70026,1.06905,0.71031,0.70104,0.74288,0.6841,0.42654,0.44767,0.96701,0.00901,0.00901,0.00901
17,3214.04,0.61164,0.68803,1.06377,0.69814,0.70562,0.71554,0.66527,0.41844,0.39585,0.95554,0.008944,0.008944,0.008944
18,3397.19,0.60388,0.67784,1.06127,0.72706,0.75934,0.72815,0.67621,0.40638,0.39406,0.94814,0.008878,0.008878,0.008878
19,3578.78,0.60348,0.66261,1.06217,0.67477,0.74926,0.70591,0.65943,0.40729,0.41789,0.9444,0.008812,0.008812,0.008812
20,3760.96,0.58963,0.64274,1.04987,0.70099,0.75008,0.71586,0.66914,0.39664,0.38109,0.94011,0.008746,0.008746,0.008746
21,3942.6,0.5892,0.63717,1.05121,0.68783,0.79358,0.71954,0.6697,0.40065,0.3932,0.94392,0.00868,0.00868,0.00868
22,4123.63,0.58631,0.6317,1.04782,0.71779,0.78153,0.76747,0.71513,0.38815,0.35804,0.9367,0.008614,0.008614,0.008614
23,4305.27,0.57826,0.61306,1.04413,0.70949,0.70852,0.72562,0.68153,0.38163,0.35213,0.93568,0.008548,0.008548,0.008548
24,4487.46,0.57464,0.61447,1.03996,0.67163,0.73711,0.71092,0.66682,0.39055,0.37616,0.94021,0.008482,0.008482,0.008482
25,4670.6,0.5751,0.60929,1.04139,0.70946,0.7556,0.73203,0.68784,0.39145,0.36013,0.9443,0.008416,0.008416,0.008416
26,4853.5,0.56604,0.59145,1.03851,0.73044,0.77767,0.73853,0.69114,0.38667,0.35702,0.94045,0.00835,0.00835,0.00835
27,5036.92,0.56149,0.58228,1.03388,0.70313,0.82263,0.72761,0.68333,0.37408,0.36752,0.92924,0.008284,0.008284,0.008284
28,5221.95,0.56168,0.58972,1.03638,0.70374,0.80756,0.75402,0.71062,0.37299,0.35063,0.92927,0.008218,0.008218,0.008218
29,5411.97,0.55894,0.57582,1.03387,0.69932,0.75869,0.71268,0.67346,0.37007,0.35751,0.92695,0.008152,0.008152,0.008152
30,5595.62,0.5518,0.57123,1.02947,0.70294,0.79478,0.72665,0.68296,0.36933,0.34838,0.92812,0.008086,0.008086,0.008086
31,5786.52,0.55052,0.56229,1.0279,0.72247,0.75712,0.72504,0.68351,0.37,0.339,0.92746,0.00802,0.00802,0.00802
32,5977.69,0.54622,0.55834,1.02386,0.71075,0.82023,0.72692,0.68762,0.35776,0.32075,0.91783,0.007954,0.007954,0.007954
