epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.454,0.69286,1.50963,1.17897,0.66397,0.82751,0.69708,0.65224,0.38934,0.49696,0.90859,0.00332922,0.00332922,0.00332922
2,461.353,0.69582,1.02218,1.14189,0.65609,0.70674,0.67169,0.61778,0.43618,0.50764,0.92387,0.00661814,0.00661814,0.00661814
3,702.214,0.78844,1.1664,1.20452,0.5974,0.62559,0.6096,0.5238,0.63568,0.92569,1.05671,0.00986262,0.00986262,0.00986262
4,937.957,0.88021,1.31236,1.26716,0.61741,0.64557,0.6392,0.55295,0.58549,0.7322,1.00531,0.00980002,0.00980002,0.00980002
5,1171.57,0.83486,1.20286,1.23131,0.63995,0.62322,0.64762,0.57087,0.53002,0.69738,1.00315,0.00973336,0.00973336,0.00973336
6,1463.99,0.79896,1.11292,1.21676,0.65149,0.67985,0.70095,0.63181,0.47367,0.56625,0.9642,0.0096667,0.0096667,0.0096667
7,1749.84,0.76915,1.04555,1.20081,0.64585,0.62579,0.67375,0.61294,0.47509,0.55282,0.96909,0.00960004,0.00960004,0.00960004
8,2006.3,0.74368,0.9939,1.18385,0.67756,0.69005,0.69056,0.6359,0.44609,0.50594,0.94982,0.00953338,0.00953338,0.00953338
9,2261.86,0.72621,0.9644,1.17311,0.67358,0.75197,0.73264,0.6654,0.43313,0.44638,0.94689,0.00946672,0.00946672,0.00946672
10,2513.61,0.70968,0.92035,1.16827,0.6585,0.76151,0.70893,0.65742,0.43096,0.45502,0.94434,0.00940006,0.00940006,0.00940006
11,2766.9,0.69742,0.89761,1.16266,0.68435,0.77182,0.69991,0.64862,0.42244,0.45255,0.94081,0.0093334,0.0093334,0.0093334
12,3014.54,0.68757,0.87516,1.15068,0.66255,0.8017,0.70067,0.65113,0.42174,0.4158,0.93005,0.00926674,0.00926674,0.00926674
13,3263.46,0.67602,0.84913,1.14315,0.67928,0.74919,0.70306,0.6575,0.40209,0.43123,0.92439,0.00920008,0.00920008,0.00920008
14,3512.37,0.6695,0.82623,1.13588,0.67051,0.75819,0.71473,0.67176,0.39168,0.40897,0.90944,0.00913342,0.00913342,0.00913342
15,3758,0.65381,0.81072,1.13184,0.71397,0.68524,0.72711,0.67116,0.39246,0.39065,0.9152,0.00906676,0.00906676,0.00906676
16,4005.53,0.64896,0.78825,1.12724,0.71901,0.7187,0.7312,0.68016,0.38953,0.39016,0.92024,0.0090001,0.0090001,0.0090001
17,4269.47,0.64499,0.77814,1.12394,0.69733,0.71989,0.70947,0.66794,0.38703,0.37266,0.91996,0.00893344,0.00893344,0.00893344
18,4586.64,0.62993,0.7617,1.11845,0.69715,0.74862,0.72127,0.67643,0.38226,0.38902,0.92189,0.00886678,0.00886678,0.00886678
19,4863.01,0.62238,0.7413,1.11247,0.6923,0.81663,0.72629,0.68247,0.38011,0.36662,0.91337,0.00880012,0.00880012,0.00880012
20,5105.07,0.61708,0.7283,1.10998,0.67722,0.78319,0.71001,0.66733,0.38162,0.38014,0.91693,0.00873346,0.00873346,0.00873346
21,5324.58,0.61432,0.71574,1.1039,0.71592,0.74089,0.72622,0.68617,0.37143,0.35112,0.90857,0.0086668,0.0086668,0.0086668
22,5554.27,0.60862,0.70818,1.1041,0.7027,0.76049,0.72308,0.67884,0.3719,0.3554,0.9102,0.00860014,0.00860014,0.00860014
23,5769.05,0.60655,0.69134,1.10215,0.7051,0.76228,0.72279,0.68384,0.36095,0.33083,0.90467,0.00853348,0.00853348,0.00853348
24,5987.1,0.60346,0.69081,1.09962,0.72993,0.75521,0.76009,0.71685,0.35795,0.31679,0.89796,0.00846682,0.00846682,0.00846682
25,6201.82,0.59946,0.68294,1.09439,0.69966,0.76565,0.74526,0.70686,0.36397,0.33594,0.9023,0.00840016,0.00840016,0.00840016
